model,quant,class,build,compiler,runtime,pgo,bolt_profile,test_mode,reps,t_per_s_mean,t_per_s_std,delta_pct_vs_pgo,statistically_significant,notes
Qwen3-Coder-30B-A3B,Q4_K_M,sync-bound MoE,build_libomp_pgo_use,clang-20,libomp,instr-use,n/a,tg32,3,59.27,0.57,reference,n/a,PGO baseline (3-rep — note higher variance)
Qwen3-Coder-30B-A3B,Q4_K_M,sync-bound MoE,build_libomp_pgo_bolt,clang-20,libomp,instr-use,coder30b-only,tg32,3,60.48,0.32,+2.0,marginal,BOLT with single-model coder profile
Qwen3-Coder-30B-A3B,Q4_K_M,sync-bound MoE,build_libomp_pgo_bolt,clang-20,libomp,instr-use,4-model-merged,tg32,5,60.54,0.20,+2.1,yes,BOLT with merged 4-model profile (recommended)
Qwen3.6-35B-A3B,Q8_0,BW-bound frontdoor MoE,build_libomp_pgo_use,clang-20,libomp,instr-use,n/a,tg32,3,27.59,0.06,reference,n/a,PGO baseline (3-rep)
Qwen3.6-35B-A3B,Q8_0,BW-bound frontdoor MoE,build_libomp_pgo_bolt,clang-20,libomp,instr-use,coder30b-only,tg32,3,26.94,0.06,-2.4,yes (negative),BOLT with coder profile hurts Q8 frontdoor
Qwen3.6-35B-A3B,Q8_0,BW-bound frontdoor MoE,build_libomp_pgo_bolt,clang-20,libomp,instr-use,4-model-merged,tg32,5,27.27,0.05,-1.2,marginal,BOLT with merged profile still slightly negative
Qwen3-Coder-REAP-246B-A35B,Q4_K_M,DRAM-bound large MoE,build_libomp_pgo_use,clang-20,libomp,instr-use,n/a,tg32,3,6.91,0.02,reference,n/a,PGO baseline (3-rep)
Qwen3-Coder-REAP-246B-A35B,Q4_K_M,DRAM-bound large MoE,build_libomp_pgo_bolt,clang-20,libomp,instr-use,coder30b-only,tg32,3,7.00,0.02,+1.3,yes,BOLT with coder profile slight win on REAP
Qwen3-Coder-REAP-246B-A35B,Q4_K_M,DRAM-bound large MoE,build_libomp_pgo_bolt,clang-20,libomp,instr-use,4-model-merged,tg32,5,6.90,0.02,-0.1,no,BOLT with merged profile neutral on REAP
Qwen3.5-27B,Q8_0,dense/hybrid SSM-Dense,build_libomp_pgo_use,clang-20,libomp,instr-use,n/a,tg32,3,5.76,0.01,reference,n/a,PGO baseline (3-rep)
Qwen3.5-27B,Q8_0,dense/hybrid SSM-Dense,build_libomp_pgo_bolt,clang-20,libomp,instr-use,coder30b-only,tg32,3,5.74,0.01,-0.3,no,BOLT with coder profile neutral on dense
Qwen3.5-27B,Q8_0,dense/hybrid SSM-Dense,build_libomp_pgo_bolt,clang-20,libomp,instr-use,4-model-merged,tg32,5,5.71,0.01,-0.9,marginal negative,BOLT with merged profile slight regression
PPL_check,Coder-30B-A3B,Q4_K_M,build_libomp_pgo_bolt,clang-20,libomp,instr-use,4-model-merged,wiki_chunks_1-12,1,11.1146,0.62405,bit-exact vs PGO baseline,no quality regression,BOLT preserves PPL byte-for-byte
