suite,question_id,tokens_per_second,claude_score,score_reason
math,t1_q1_word_problem,56.83,3,"All three parts correct: 150*0.8=120, 120*1.08=129.60, and 129.60/150=86.4% with the independent cross-check 0.80*1.08=0.864; tax correctly applied to the discounted price, not the original."
math,t1_q2_system_equations,57.25,3,"Uses (x+y)^2=49 and (x-y)^2=1 to enumerate all four sign combinations and lands the complete real solution set (4,3), (3,4), (-3,-4), (-4,-3), with a substitution check and a symmetry argument for why no others exist."
math,t1_q3_probability,56.34,3,"Both requested probabilities are correct: (5/10)(4/9)=2/9 for two reds, and 1/6+1/6=1/3 summing both draw orders for red-and-blue. One cosmetic slip: the line 3/10 * 5/9 is rewritten as 1/2 * 1/3, a false equality of factors that still evaluates to the correct 1/6."
math,t2_q1_optimization,55.81,3,"Sets up the three-sided constraint x+2y=200 correctly (only one side parallel to the river), reduces to A(y)=200y-2y^2, solves A'(y)=200-4y=0 for y=50, confirms the maximum with A''=-4<0, and reports 100 m by 50 m for 5000 square meters."
math,t2_q2_proof,51.21,3,"Correctly locates the failure at n=1 (proving the n+1=2 case): the two size-1 subsets left after removing horse 1 and horse 2 are disjoint, so no shared horse links their colours, and it also states the complementary fact that for n>=2 the overlap {h_2..h_n} is non-empty. All three sub-questions answered."
math,t2_q3_calculus,57.29,3,"Antiderivative x^3+x^2-x derived term by term, F(2)=8+4-2=10 and F(0)=0, final value 10; all three requested steps shown."
math,t2_q4_statistics,58.77,3,"Every number checks out: sum 185 and mean 23.125, median (22+25)/2=23.5, all eight squared deviations summing to 432.875 giving variance 54.109375 and population sigma 7.356, and Q1=16.5, Q3=29, IQR=12.5, fences -2.25 and 47.75 with the correct conclusion of no outliers."
math,t3_q1_analysis,54.9,3,"All three parts correct: infinite radius of convergence makes f entire hence differentiable on R; the Im(e^{x e^i}) manipulation is carried all the way to the explicit real closed form e^{x cos 1} sin(x sin 1); and the limit is squeezed to 0 via e^{(cos 1 - 1)x} with cos 1 < 1 correctly justified. Rigor gap: it asserts |sin(n+1)/sin(n)| is bounded, which does not follow from |sin| <= 1, though comparison with 1/n! fixes the conclusion immediately."
math,t3_q2_combinatorics,51.5,2,"Truncated mid-sentence, but the finding it reaches is correct and proved: via [x^n](1+x)^{2n}(x/(1+x))^n it shows the LHS equals 1 for every n, so the identity as stated is FALSE, and spot-checks at n=1,2,3 (1, 1, 1 versus the claimed 1, 2, 3) confirm it. Held to 2 because it never constructs the requested sign-reversing involution, abandons two involution attempts in visible trial-and-error, and is cut off while still guessing at typo variants with no final conclusion stated."
math,t3_q3_probability_theory,48.02,2,"Final answer E[N]=e is correct and proof (a) is complete and rigorous (P(N>n)=Vol of the n-simplex=1/n!, telescoping to P(N=n), then sum of n(1/(n-1)!-1/n!)=sum 1/j!=e). Proof (b) is not a genuinely different proof as the prompt demanded: it visibly abandons two order-statistics/Poisson starts ('this is not immediately U[0,1]', 'let us step back'), then reuses the same simplex volume and tail sum from (a), and its closing step P(N>k)=e*P(M=k) is an algebraic reskin of 1/k! rather than an independent argument."
