0.00.035.523 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.035.866 W srv  llama_server: -----------------
0.00.035.868 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.035.868 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.035.868 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.035.868 W srv  llama_server: -----------------
0.00.037.085 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.5-122B-A10B-MTP-GGUF/UD-Q4_K_M/Qwen3.5-122B-A10B-UD-Q4_K_M-00001-of-00003.gguf'
0.33.158.346 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.33.158.575 W llama_sampler_backend_support: device 'ROCm0' does not have support for op TOP_K needed for sampler 'top-k'
0.33.219.915 I srv  llama_server: model loaded
0.33.219.922 I srv  llama_server: listening on http://127.0.0.1:58843
0.34.860.285 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.34.860.408 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.44.750.555 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =  12.15 t/s, tg_3s =  12.15 t/s
0.47.966.476 I slot print_timing: id  0 | task 0 | n_decoded =    139, tg =  12.14 t/s, tg_3s =  12.13 t/s
0.50.970.855 I slot print_timing: id  0 | task 0 | n_decoded =    175, tg =  12.11 t/s, tg_3s =  11.98 t/s
0.54.158.195 I slot print_timing: id  0 | task 0 | prompt eval time =    1659.04 ms /    63 tokens (   26.33 ms per token,    37.97 tokens per second)
0.54.158.200 I slot print_timing: id  0 | task 0 |        eval time =   17638.70 ms /   214 tokens (   82.42 ms per token,    12.13 tokens per second)
0.54.158.200 I slot print_timing: id  0 | task 0 |       total time =   19297.74 ms /   277 tokens
0.54.158.205 I slot print_timing: id  0 | task 0 |    graphs reused =         70
0.54.158.208 I slot print_timing: id  0 | task 0 | draft acceptance = 1.00000 (  142 accepted /   142 generated), mean len =  3.00
0.54.158.268 I slot      release: id  0 | task 0 | stop processing: n_tokens = 276, truncated = 0
0.54.168.885 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1512458273649
0.54.340.711 I slot launch_slot_: id  0 | task 74 | processing task, is_child = 0
1.02.076.184 I slot print_timing: id  0 | task 74 | prompt eval time =    1224.19 ms /    39 tokens (   31.39 ms per token,    31.86 tokens per second)
1.02.076.193 I slot print_timing: id  0 | task 74 |        eval time =    6511.24 ms /    68 tokens (   95.75 ms per token,    10.44 tokens per second)
1.02.076.194 I slot print_timing: id  0 | task 74 |       total time =    7735.43 ms /   107 tokens
1.02.076.196 I slot print_timing: id  0 | task 74 |    graphs reused =         96
1.02.076.200 I slot print_timing: id  0 | task 74 | draft acceptance = 0.77778 (   42 accepted /    54 generated), mean len =  2.56
1.02.076.245 I slot      release: id  0 | task 74 | stop processing: n_tokens = 108, truncated = 0
1.02.086.921 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1512466191626
1.02.120.917 I slot launch_slot_: id  0 | task 104 | processing task, is_child = 0
1.09.588.194 I slot print_timing: id  0 | task 104 | prompt eval time =    1373.27 ms /    54 tokens (   25.43 ms per token,    39.32 tokens per second)
1.09.588.200 I slot print_timing: id  0 | task 104 |        eval time =    6093.96 ms /    60 tokens (  101.57 ms per token,     9.85 tokens per second)
1.09.588.201 I slot print_timing: id  0 | task 104 |       total time =    7467.24 ms /   114 tokens
1.09.588.203 I slot print_timing: id  0 | task 104 |    graphs reused =        120
1.09.588.207 I slot print_timing: id  0 | task 104 | draft acceptance = 0.68000 (   34 accepted /    50 generated), mean len =  2.36
1.09.588.252 I slot      release: id  0 | task 104 | stop processing: n_tokens = 113, truncated = 0
1.09.598.801 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 1512473703633
1.09.638.068 I slot launch_slot_: id  0 | task 132 | processing task, is_child = 0
1.15.670.448 I slot print_timing: id  0 | task 132 | prompt eval time =    1912.25 ms /    71 tokens (   26.93 ms per token,    37.13 tokens per second)
1.15.670.453 I slot print_timing: id  0 | task 132 |        eval time =    4120.09 ms /    50 tokens (   82.40 ms per token,    12.14 tokens per second)
1.15.670.454 I slot print_timing: id  0 | task 132 |       total time =    6032.34 ms /   121 tokens
1.15.670.456 I slot print_timing: id  0 | task 132 |    graphs reused =        136
1.15.670.458 I slot print_timing: id  0 | task 132 | draft acceptance = 1.00000 (   34 accepted /    34 generated), mean len =  3.00
1.15.670.500 I slot      release: id  0 | task 132 | stop processing: n_tokens = 122, truncated = 0
1.15.672.284 I srv    operator(): operator(): cleaning up before exit...
