suite,question_id,tokens_per_second,claude_score,score_reason
agentic,t1_q1_sequential,54.47,3,"Emits a valid two-element JSON array in the correct dependency order - grep_search for ERROR in /var/log/app.log, then read_file on the same path - with correct argument names and no surrounding prose."
agentic,t1_q2_error_handling,39.91,2,Reaches the right decision (it lacks a name or email so search_users cannot be called yet) but narrates its intent in the third person and never emits either required output form: no JSON tool call and no actual clarifying message addressed to the user.
agentic,t1_q3_nested_params,56.01,3,"Perfect nested tool call: title extracted cleanly as Fix login bug, both assignees as an array, and metadata carrying priority high, tags bug and urgent, and the ISO due_date, with only the JSON emitted."
agentic,t2_q1_ambiguous,33.23,3,Takes the explicitly permitted clarify branch with a question that names the actual decision axis (Slack for immediate awareness vs email for a formal record) and also asks what outage details to include.
agentic,t2_q2_error_chain,39.26,2,"Correct format - brief reasoning then one valid JSON call - and check_dns is non-destructive, but the stated rationale is technically wrong: a connection_refused on db-staging.internal:5432 means the name already resolved and a host sent an RST, so DNS resolution failure cannot be the cause, and it skips get_logs on the database service which would show why the port is not listening."
agentic,t2_q3_schema_edge,53.91,3,"Honors every edge constraint in the schema at once: endpoint /users with the required leading slash, method GET, body explicitly null as mandated for GET, and the auth header mapped to Authorization: Bearer token123."
agentic,t2_q4_orchestration,62.3,3,"Uses the exact requested key structure with valid JSON, correct ordering (checkout hotfix branch, test, build, deploy, notify), and both failure branches populated - notably rolling back to v1.2.2, the correct last-deployed version given in the prompt."
agentic,t3_q1_competing_constraints,50.83,2,"Delivers all three required keys with real per-step validation checks and a fallback that still yields partial results (top products by total revenue), but the execution chain is broken as written: every code block references an undefined file_content variable that execute_code has no way to receive, and step 4 hardcodes placeholder column names Product, Revenue and Date instead of consuming the columns step 3 detected - reintroducing exactly the wrong-column failure that constraint 3 warned about."
agentic,t3_q2_multi_agent_coordination,48.04,2,"All four required keys are present with an honest dependency chain and a correct 30+5+15=50s budget check against the 60s cap, but it answers the parallelization question with three single-agent groups and a claim that no parallelism is possible, when the reviewer data-integrity check depends only on phase 1 and could overlap the 5s coder step; its researcher retry-once policy also silently costs another 30s, blowing the same budget its own 50-percent-overrun timeout rule is meant to enforce."
agentic,t3_q3_adversarial_robustness,41.79,3,"Answers all five parts with verified technical accuracy - the supplied base64 payload does decode exactly to curl http://internal-api.local && cat /etc/passwd, and the /etc/passwd vs /etc/shadow distinction is correct - and proposes concrete controls (pre-execution decoding, allowlist-first command parsing, seccomp-bpf and chroot sandboxing, audit logging) while correctly refusing to honor a self-declared admin claim."
coder,t1_q1_algorithm,53.46,1,"Found only Bug 1 (left=mid causes an infinite loop when right==left+1, fix left=mid+1) with a valid trigger arr=[1,2] target=3; never identifies a distinct second bug, spends ~150 lines of self-contradictory trial-and-error re-deriving Bug 1 as 'Bug 2', and truncates mid-sentence with no corrected function."
coder,t1_q2_refactor,42.13,3,"Delivers both requested versions: a single-pass seen/duplicates set at O(n) with the hashability and ordering losses named, and a sort-then-scan-adjacent version at O(n log n) that avoids holding a hash set of the large objects; complexity and tradeoffs given for each plus a comparison table."
coder,t1_q3_test,55.02,2,"Good coverage of normal, edge and error cases including pytest.raises(ValueError, match=...) for both b==0 paths, but test_divide_large_numbers asserts divide(1e100, 1e50) == 1e50 which is False in IEEE754 (the quotient is 9.999999999999999e+49), so the suite as written fails; no pytest.approx anywhere."
coder,t2_q1_design,50.39,3,"Correct hash-map-plus-sentinel-doubly-linked-list design; the pointer surgery in _add_to_head and _remove_node is ordered correctly, _pop_tail returns the node so the map entry is deleted by key, and get/put are genuinely O(1) with the data-structure rationale stated as required."
coder,t2_q2_debug_complex,41.73,3,"Names the exact defect (read, await-yield, write back a stale temp) and the fix wraps the whole read-sleep-write critical section in async with asyncio.Lock, which does serialize the 100 increments to a final value of 100."
coder,t2_q3_optimize,48.94,3,"Single-pass complement-frequency map that adds freq[target-num] BEFORE incrementing freq[num], so duplicate values and the target==2*num case are counted correctly exactly once per ordered pair; hits the O(n) target with complexity and approach explained. Minor: indexing the defaultdict for the complement inserts spurious zero keys."
coder,t2_q4_system,52.52,3,"Sliding-window timestamp log guarded by threading.Lock and using time.monotonic (immune to wall-clock jumps), validates max_requests>=1 and window_seconds>0, and only appends on an allowed request so the log stays bounded by N. Minor: list.pop(0) makes eviction O(k) where a deque would be O(1)."
coder,t3_q1_concurrent_correctness,46.15,2,"Parts 1 and 2 are correct and concrete (T1 stalls holding old top A, A and B are popped, allocator reuses A's address for a pushed C, T1's CAS then succeeds and clobbers top with the stale t->next, losing C), but the tagged-pointer fix declares current_node inside the do-while body and then dereferences and deletes it after the loop (will not compile), and its 'safe to delete because we removed it from the stack' comment is wrong: tagged pointers defeat the bad CAS, not the concurrent reader that is still dereferencing the freed node's next field."
coder,t3_q2_distributed_consistency,39.87,3,"All four parts delivered: four distinct strategies (LWW, FWW, CRDT merge, application-level detection) each paired with its own concrete failure scenario, an OR-Set CRDT recommendation for the cart justified by availability and add-heavy semantics, and a CP recommendation for the ledger (consensus, minority partition rejects writes, compensating transactions). Slip: G-Counter is listed as an example of a set CRDT, and the LWW example is labelled clock skew when no skew is actually present."
coder,t3_q3_algorithmic_hardness,47.05,2,"Parts 1 and 2 are right (comparison graph must be connected so at least n-1 comparisons; T(n)<=T(n/5)+T(7n/10)+O(n), group 3 gives 1/3+2/3=1 hence Theta(n log n), group 7 gives 1/7+5/7=6/7<1 hence still O(n) but with worse constants), but part 3 asked for a precise expected comparison count and instead derives the randomized-QUICKSORT pairwise sum by mistake, retracts it, waffles between 2n, 3n and 4n, and settles on a hand-waved '~2n' with no derivation."
general,t1_q1_json,40.24,3,"Extracts all four requested fields correctly from the sentence, including department as Platform rather than Platform team, and outputs only the JSON with no explanation as instructed."
general,t1_q2_multistep,51.43,3,"All four operations executed correctly: case-insensitive dedup to banana, Apple, cherry, Date keeping first-occurrence casing, alphabetical sort, numbering 1 through 4, and the trailing count of 4 - with no invented list items."
general,t1_q3_compare,31.68,3,"Delivers a direct two-sentence contrast inside the 2-3 sentence limit that correctly pairs each approach strength against its cost - microservices scaling and fault isolation against network latency and consistency, the monolith deployment simplicity and easy joins against scaling bottlenecks and coupling."
general,t2_q1_synthesis,25.44,3,"Three sentences reconciling all three stakeholders with the actual numbers: a patch inside the two-week product window, held under the 20K threshold so no board approval is triggered, with engineering three-month refactor explicitly scheduled post-Q4 rather than dropped."
