0.00.036.014 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.366 W srv  llama_server: -----------------
0.00.036.368 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.368 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.368 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.368 W srv  llama_server: -----------------
0.00.037.639 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.5-122B-A10B-MTP-GGUF/UD-Q4_K_M/Qwen3.5-122B-A10B-UD-Q4_K_M-00001-of-00003.gguf'
0.32.814.552 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.32.814.812 W llama_sampler_backend_support: device 'ROCm0' does not have support for op TOP_K needed for sampler 'top-k'
0.32.876.002 I srv  llama_server: model loaded
0.32.876.009 I srv  llama_server: listening on http://127.0.0.1:46623
0.33.028.818 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.33.028.881 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.43.848.936 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =  10.59 t/s, tg_3s =  10.59 t/s
0.46.863.016 I slot print_timing: id  0 | task 0 | n_decoded =    129, tg =  10.35 t/s, tg_3s =   9.62 t/s
0.49.923.116 I slot print_timing: id  0 | task 0 | n_decoded =    157, tg =  10.12 t/s, tg_3s =   9.15 t/s
0.53.027.721 I slot print_timing: id  0 | task 0 | n_decoded =    190, tg =  10.20 t/s, tg_3s =  10.63 t/s
0.56.061.452 I slot print_timing: id  0 | task 0 | n_decoded =    229, tg =  10.57 t/s, tg_3s =  12.86 t/s
0.59.335.137 I slot print_timing: id  0 | task 0 | n_decoded =    259, tg =  10.39 t/s, tg_3s =   9.16 t/s
1.02.421.529 I slot print_timing: id  0 | task 0 | n_decoded =    289, tg =  10.32 t/s, tg_3s =   9.72 t/s
1.05.750.591 I slot print_timing: id  0 | task 0 | n_decoded =    321, tg =  10.24 t/s, tg_3s =   9.61 t/s
1.08.786.590 I slot print_timing: id  0 | task 0 | n_decoded =    353, tg =  10.27 t/s, tg_3s =  10.54 t/s
1.11.812.908 I slot print_timing: id  0 | task 0 | n_decoded =    384, tg =  10.27 t/s, tg_3s =  10.24 t/s
1.15.120.914 I slot print_timing: id  0 | task 0 | n_decoded =    411, tg =  10.09 t/s, tg_3s =   8.16 t/s
1.18.439.584 I slot print_timing: id  0 | task 0 | n_decoded =    453, tg =  10.29 t/s, tg_3s =  12.66 t/s
1.21.674.004 I slot print_timing: id  0 | task 0 | n_decoded =    497, tg =  10.51 t/s, tg_3s =  13.60 t/s
1.24.737.378 I slot print_timing: id  0 | task 0 | n_decoded =    530, tg =  10.53 t/s, tg_3s =  10.77 t/s
1.27.780.012 I slot print_timing: id  0 | task 0 | n_decoded =    548, tg =  10.27 t/s, tg_3s =   5.92 t/s
1.30.900.446 I slot print_timing: id  0 | task 0 | n_decoded =    579, tg =  10.25 t/s, tg_3s =   9.93 t/s
