0.00.035.326 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.035.676 W srv  llama_server: -----------------
0.00.035.677 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.035.678 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.035.678 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.035.678 W srv  llama_server: -----------------
0.00.036.952 I srv    load_model: loading model '/mnt/raid0/llm/models/Qwen3.5-122B-A10B-MTP-GGUF/UD-Q4_K_M/Qwen3.5-122B-A10B-UD-Q4_K_M-00001-of-00003.gguf'
0.32.441.624 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 8192, kv_unified = 'false'
0.32.441.838 W llama_sampler_backend_support: device 'ROCm0' does not have support for op TOP_K needed for sampler 'top-k'
0.32.494.537 I srv  llama_server: model loaded
0.32.494.545 I srv  llama_server: listening on http://127.0.0.1:42083
0.34.183.023 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.34.183.126 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.45.403.938 I slot print_timing: id  0 | task 0 | n_decoded =    100, tg =   9.97 t/s, tg_3s =   9.97 t/s
0.48.449.813 I slot print_timing: id  0 | task 0 | n_decoded =    129, tg =   9.87 t/s, tg_3s =   9.52 t/s
0.51.484.352 I slot print_timing: id  0 | task 0 | n_decoded =    158, tg =   9.81 t/s, tg_3s =   9.56 t/s
0.54.567.894 I slot print_timing: id  0 | task 0 | n_decoded =    188, tg =   9.80 t/s, tg_3s =   9.73 t/s
0.57.588.569 I slot print_timing: id  0 | task 0 | n_decoded =    220, tg =   9.90 t/s, tg_3s =  10.59 t/s
1.00.655.594 I slot print_timing: id  0 | task 0 | n_decoded =    249, tg =   9.85 t/s, tg_3s =   9.46 t/s
1.03.705.771 I slot print_timing: id  0 | task 0 | n_decoded =    278, tg =   9.81 t/s, tg_3s =   9.51 t/s
1.06.759.733 I slot print_timing: id  0 | task 0 | n_decoded =    309, tg =   9.85 t/s, tg_3s =  10.15 t/s
1.09.819.457 I slot print_timing: id  0 | task 0 | n_decoded =    340, tg =   9.87 t/s, tg_3s =  10.13 t/s
1.12.903.926 I slot print_timing: id  0 | task 0 | n_decoded =    369, tg =   9.83 t/s, tg_3s =   9.40 t/s
1.15.948.231 I slot print_timing: id  0 | task 0 | n_decoded =    399, tg =   9.83 t/s, tg_3s =   9.85 t/s
1.18.974.921 I slot print_timing: id  0 | task 0 | n_decoded =    429, tg =   9.84 t/s, tg_3s =   9.91 t/s
1.22.080.607 I slot print_timing: id  0 | task 0 | n_decoded =    461, tg =   9.87 t/s, tg_3s =  10.30 t/s
1.25.253.007 I slot print_timing: id  0 | task 0 | n_decoded =    492, tg =   9.86 t/s, tg_3s =   9.77 t/s
1.28.339.174 I slot print_timing: id  0 | task 0 | n_decoded =    524, tg =   9.89 t/s, tg_3s =  10.37 t/s
1.31.418.747 I slot print_timing: id  0 | task 0 | n_decoded =    552, tg =   9.85 t/s, tg_3s =   9.09 t/s
1.34.517.438 I slot print_timing: id  0 | task 0 | n_decoded =    581, tg =   9.82 t/s, tg_3s =   9.36 t/s
1.37.651.851 I slot print_timing: id  0 | task 0 | n_decoded =    613, tg =   9.84 t/s, tg_3s =  10.21 t/s
1.40.729.329 I slot print_timing: id  0 | task 0 | n_decoded =    644, tg =   9.85 t/s, tg_3s =  10.07 t/s
1.43.855.307 I slot print_timing: id  0 | task 0 | n_decoded =    675, tg =   9.86 t/s, tg_3s =   9.92 t/s
1.46.977.503 I slot print_timing: id  0 | task 0 | n_decoded =    704, tg =   9.83 t/s, tg_3s =   9.29 t/s
1.50.071.511 I slot print_timing: id  0 | task 0 | n_decoded =    732, tg =   9.80 t/s, tg_3s =   9.05 t/s
1.53.204.623 I slot print_timing: id  0 | task 0 | n_decoded =    763, tg =   9.80 t/s, tg_3s =   9.89 t/s
1.53.735.652 I slot print_timing: id  0 | task 0 | prompt eval time =    1191.48 ms /    37 tokens (   32.20 ms per token,    31.05 tokens per second)
1.53.735.659 I slot print_timing: id  0 | task 0 |        eval time =   78361.01 ms /   768 tokens (  102.03 ms per token,     9.80 tokens per second)
1.53.735.660 I slot print_timing: id  0 | task 0 |       total time =   79552.49 ms /   805 tokens
1.53.735.667 I slot print_timing: id  0 | task 0 |    graphs reused =        404
