suite,question_id,tokens_per_second,claude_score,score_reason,finish_reason,failure_class
agentic,t1_q1_sequential,54.47,3,The response correctly generates a JSON array with the two required tool calls in the proper sequential order (grep_search followed by read_file) and adheres to the constraint of outputting only the JSON array.,stop,ok
agentic,t1_q2_error_handling,39.91,1,The response correctly identifies the need for clarification but fails to follow the explicit instruction to output either a tool call as JSON or a message to the user; it only describes the intended action without providing the actual output.,stop,ok
agentic,t1_q3_nested_params,56.01,3,The response provides a perfectly structured JSON tool call with all required parameters correctly populated according to the user's instructions.,stop,ok
agentic,t2_q1_ambiguous,33.23,3,The model correctly identified the ambiguity in the user's request and chose the appropriate action of asking a clarifying question rather than hallucinating details or making an arbitrary tool call.,stop,ok
agentic,t2_q2_error_chain,39.26,3,"The response correctly identifies DNS resolution as a logical next diagnostic step for a connection refused error, provides clear reasoning, and outputs a valid JSON tool call matching the available tools.",stop,ok
agentic,t2_q3_schema_edge,53.91,3,"The response correctly generates the tool call JSON with all required parameters properly set according to the schema and user instructions, and outputs only the JSON as requested.",stop,ok
agentic,t2_q4_orchestration,62.3,3,"The response provides a complete, well-structured JSON deployment plan with correct tool calls in logical order, and properly defines failure handling steps for both test and deploy failures.",stop,ok
agentic,t3_q1_competing_constraints,50.83,3,"The response provides a complete, well-structured JSON plan that directly addresses all constraints: it handles unknown schema via heuristics, includes validation checks for each step, and defines a clear fallback strategy. The logic for identifying columns and calculating growth is robust and correctly formatted.",stop,ok
agentic,t3_q2_multi_agent_coordination,48.04,3,"The response provides a complete, well-structured JSON output that correctly assigns tasks to agents based on their capabilities, defines necessary context passing, respects dependencies (no parallelism possible due to sequential data flow), and includes robust failure handling strategies. All constraints and sub-questions are addressed accurately.",stop,ok
agentic,t3_q3_adversarial_robustness,41.79,3,"The response is correct, complete, and well-structured, addressing all five parts of the question with specific technical details. It correctly identifies command injection and information disclosure risks, proposes safe handling strategies (refusal, sanitization), and designs a comprehensive security policy including sandboxing and input validation.",stop,ok
